question,answer,question_type
Bu metnin ana fikri nedir?,"Bu metin, kader inancının, musibetler karşısında insanın ruhsal sağlığı ve huzuru için önemini vurgular. Kaderi Allah'ın takdiri olarak kabul eden bir insanın, zorluklar karşısında daha sabırlı, metanetli ve huzurlu olacağını, aksine kaderi kabul etmeyen bir insanın ise sürekli şikayetçi ve mutsuz olacağını anlatır.",Summarizing
"Metinde bahsedilen ayetlerin (Hadid Suresi 57/22-23, Bakara Suresi 2/156, Nisa Suresi 4/19) ortak noktası nedir?","Bahsi geçen ayetlerin ortak noktası, Allah'ın takdirine teslim olmanın ve her şeyin Allah'tan olduğuna inanmanın önemini vurgulamasıdır.  Bu inanç, hem nimetlerde şımarmamayı, hem de musibetlerde ümitsizliğe düşmemeyi sağlar.",Analytical
Metnin ana fikri nedir?,"Metnin ana fikri, kadere imanın insan hayatındaki olumlu etkileridir. Kadere iman eden bir insanın, ihtiyaçları ve korkularıyla başa çıkma yeteneğinin arttığı, huzur bulduğu ve hayatını daha olumlu bir şekilde yaşadığı belirtilmektedir.",Summarizing
Peygamber Efendimizin (sas) hadis-i şerifinde bahsedilen gerçek nedir ve bu gerçek metinde nasıl vurgulanıyor?,"Peygamber Efendimizin (sas) hadis-i şerifinde, ""Kadere iman, kaygı ve üzüntüyü giderir."" denilmektedir. Metin bu gerçeği, kadere imanın insanı keder ve üzüntüden koruduğunu, ağır hastalıklarla mücadele eden bir müminin bile teslimiyetle huzur bulmasını sağlayarak örneklendirerek vurgular.",Contextual
Bu metinde anlatılan 'akide' nedir ve insanları nasıl etkiler?,"Metinde bahsedilen 'akide', başına gelecek olanın mutlaka geleceğine, gelmeyecek olanın da asla gelmeyeceğine olan inançtır. Bu inanç, insanları canlı ve hareketli tutar, zorluklara karşı yılmaz ve tembelliğe düşmelerini engeller. Geçmişte başarılı olmuş insanların bu akideye sahip olmaları bunun en büyük kanıtı olarak gösterilir.",Factual
"Metne göre, kadere iman Allah'a olan bağı nasıl etkiler ve bu durum insanın hayatını nasıl şekillendirir?","Metne göre, kadere iman, Allah'a tam bir güven ve dayanma anlamına gelir. Bu inanç, insanı her işe cesurca girişmeye, başarıdan başarıya yürümeye iter. Başarısızlık durumunda bile, 'bunda bir hikmet vardır' diyerek yılmadan farklı yollar denemeye devam eder veya takdiri kabullenerek yoluna devam eder.  Allah'a bağlanma, iradeyi sıfıra indirmek değil, aksine beklenmedik durumlarda bile iradeyi harekete geçirmektir.",Conceptual
Bu metinde kader inancıyla başa çıkma mekanizması nasıl açıklanıyor?,"Metin, kaderine inanan bir kimsenin, kendisine karşı suç işleyen birine karşı daha müsamahalı davranabileceğini, başına gelen olayı kader açısından değerlendirerek affetmeyi kolaylaştırabileceğini açıklıyor.  Bu kişi, kendi günahlarının da yaşadığı acı veya zararda payı olduğunu düşünerek nefis muhasebesi yapar ve Kur'an'ın (Şûrâ 42/30) ilgili ayetini hatırlayarak muhatabına karşı duyacağı nefret ve kinden kurtulur.",Analytical
Bediüzzaman Said Nursi'nin kader inancıyla ilgili görüşleri metinde nasıl yer alıyor ve bu görüşler metnin ana fikrini nasıl destekliyor?,"Metin, Bediüzzaman Said Nursi'nin kader inancının lezzetli ve saadetli olduğunu, dünyalık saadetin kader inancına bağlı olduğunu ve kader inancının musibetlerin hafiflemesine yardımcı olduğunu belirten sözleriyle son buluyor. Bu alıntılar, metnin ana fikrini, yani kader inancının zorluklarla başa çıkmada önemli bir rol oynadığını destekliyor.",Contextual
Kur'an'da ahiretin imkânı ve lüzumu nasıl ele alınmaktadır?,"Metne göre, Kur'an'da ahiretin imkânı ve lüzumu, ahiretin inkarına sebep olan faktörlerin ele alınması, dirilişin imkanını ispat eden metotların belirtilmesi, ahiret hayatının gerekliliğini bildiren ayetlerin gösterilmesi, ahiretin vuku bulacağını gösteren delillerin sunulması ve Allah'ın varlıkta tecelli eden isim ve sıfatlarının delillerinin açıklanmasıyla ele alınmaktadır.",Conceptual
Ahiret inancı insan hayatında nasıl olumlu veya olumsuz etkilere yol açabilir?,"Metin, ahiret inancının insan için önemini ve pratik değerini vurgulamakta; ayrıca, ahireti inkarın insan hayatındaki olumsuz etkilerine de değinmektedir.  Ancak metin, bu etkilerin neler olduğunu detaylı olarak açıklamamaktadır.",Reflective
