question,answer,question_type
Embriyonun gelişimi ve doğumu için hangi adımlar izlenir?,"Uygulama ile yumurta hücresinin bölünmesi sağlanır. Bölünen embriyo, aynı türden bir canlının rahmine yerleştirilir ve gelişip doğması beklenir.",Procedural
Metinde bahsedilen bilim insanlarının rolü nedir ve sonuçlar nasıl oluşur?,"Bilim insanları aktarımı yapar ve sonucu beklerler. Sonuç, onların becerileriyle değil, Allah tarafından yaratılır.",Factual
"Metinde, Allah'ın ilmi ve insanların bu ilmi kavrama kapasitesi hakkında ne anlatılıyor?","Metin, Allah'ın sınırsız ve mutlak ilmine karşılık, insanların ancak Allah'ın dilediği kadarını kavrayabileceğini belirtiyor. İnsanların bildikleri, Allah'ın bildirdiklerinden ibarettir.",Factual
Vahiy ve ilham arasındaki temel farklar nelerdir ve bu farklar metinde nasıl vurgulanmaktadır?,"Vahiy, peygamberlere gelen, şeffaf, şahitle (Cebrail) müeyyed, objektif ve bağlayıcı bir iken; ilham, bazı kullara gelen, hususî, yoruma açık, şahitsiz ve bağlayıcı olmayan, subjektif bir bilgidir.  Vahiy, Allah'ın özel bir teveccühü iken, ilham, kulların gayretine bağlı olarak verilen bir destektir. Metin bu farkları açıkça ortaya koyarak, vahiyin objektif ve bağlayıcı, ilhamın ise subjektif ve yoruma açık olduğunu vurgular.",Analytical
"Bu metinde, Allah'ın insanlığa olan lütfunun bir örneği olarak hangi ayet zikredilmektedir ve bu ayet ne anlatmaktadır?","Metinde, Alak suresinin 96/4-5. ayetleri Allah'ın insanlığa olan lütfuna örnek olarak gösterilmektedir. Bu ayetler, Allah'ın kalemle yazmayı ve insanlara bilmediklerini öğretmeyi öğrettiğini belirtmektedir.",Factual
"Metinde Allah'ın kudretiyle ilgili olarak verilen örneklerden yola çıkarak, Allah'ın yaratma eyleminin kolaylığına dair kendi yorumunuzu nasıl ifade ederdiniz?","Metin, Allah'ın kudretini, yıldızların bir zerre, baharın bir çiçek, ağacın bir tohum kadar kolaylıkla yaratılmasıyla örneklendirir. Bu, benim yorumuma göre, Allah'ın yaratma eyleminin sınırsız gücü ve kolaylığına işaret eder; O'nun için zor veya kolay diye bir şey yoktur.",Reflective
Bu paragrafta Allah'ın büyüklüğü nasıl tanımlanmaktadır?,"Paragraf, Allah'ın büyüklüğünün sadece kelimelerle ifade edilemeyecek soyut bir büyüklük olmadığını, aksine akıl terazilerinin asla ölçemeyeceği kadar yüce bir varlık olduğunu belirtir.  Kâinatın kusursuz düzeni ve ahenginin de bu büyüklüğün bir göstergesi olduğu vurgulanır.",Factual
"Mikro âlemden makro âleme kadar kâinatın ahenkli işleyişinin, Allah'ın büyüklüğünü anlamamızda nasıl bir rolü vardır?","Paragrafta, mikro ve makro âlemi kapsayan kâinatın karmaşa ve kaos olmaksızın, baş döndürücü bir ahenk ve düzen içinde işlemesi, Allah'ın büyüklüğünü kavramamız için yeterli bir fikir verici örnek olarak sunulmaktadır. Bu düzen, Allah'ın gücünün ve kudretinin bir kanıtı olarak gösterilmektedir.",Conceptual
"Ayetü'l Kürsi'nin birinci mesajı, Allah'ın kullarından ne yapmalarını istediğine dair ne anlatıyor?","Ayetü'l Kürsi'nin ilk mesajı, Allah'ın öncelikle koyduğu kanun ve sebeplere bağlı kalmamızı istediğini, ancak sebepler yetmediğinde O'nun her şeyi yöneten ve imkansızı mümkün kılan Kayyum olduğunu hatırlatarak ümitsizliğe kapılmamamızı ve O'na sığınmamızı öğütlüyor.",Factual
"İbrahim Hakkı Hazretlerinin ""Nâçar kaldığı yerde Nâgah açar ol perde"" sözü, Ayetü'l Kürsi'nin hangi mesajıyla ilişkilendirilebilir ve ne anlama gelir?","Bu söz, Ayetü'l Kürsi'nin Allah'ın her şeye gücü yettiği ve kullarının çaresiz kaldıkları yerde bile onlara ansızın yardım edebileceği mesajıyla ilişkilendirilebilir.  Çaresizliğin ortasında bile Allah'ın yardımının gelebileceğini ve her derde deva olacağını anlatır.",Contextual
