question,answer,question_type
"Metne göre, tarihte inanmayan bir millet var mıdır?","Metne göre, tarihte inanmayan bir millet bulmak hemen hemen mümkün değildir. Her toplum bir yüce kudrete inanmıştır.",Factual
İlk insanların birliklerini bozmalarına neden olan faktörler nelerdir?,"Metne göre, ilk insanlar sonradan bir kısım arızî sebeplerle ihtilâfa düşüp birliklerini bozmuşlardır.  Bu sebepler metinde detaylı olarak açıklanmamıştır.",Causal
"Bu metinde, peygamberlerin insanlığa olan temel rolü nedir?","Metne göre peygamberler, insanlara Allah'ın rızasına uygun bir hayat yaşamayı öğreterek ve bu hakikatleri bizzat yaşayarak (temsil ederek) insanları cennete ve Allah'ın hoşnutluğuna götüren yolları göstermişlerdir.  Ayrıca, insan fıtratını özüne döndürerek kalplerindeki engelleri ortadan kaldırmayı ve hayrın neticesiyle ümitlendirip şerrin akibetini göstermeyi amaçlamışlardır.",Factual
Bazı insanların peygamberlerin mesajlarından uzaklaşmasının sebepleri nelerdir ve bunun sonucu ne olmuştur?,"Metinde belirtildiğine göre, bazı insanlar heva ve heveslerine, kibir, zulüm ve taşkınlığa yenik düşmüşlerdir.  Sonuç olarak, her yeni dönemde ihtilaflarını az değiştirerek, ama katmerleştirerek ayrı ayrı yollarda devam etmişlerdir.",Causal
Bu metnin ana fikri nedir?,"Metnin ana fikri, insanların Allah'ı inkar etmesinin sebeplerini dört başlık altında incelemektir. Bu sebepler yüzeysel bakış, düşünce ihmalinden kaynaklanan taklitçi davranış, kötü alışkanlıklar ve yanlış eğitim olarak sıralanmaktadır.",Summarizing
Metinde bahsedilen dört başlığı kısaca açıklayınız.,"Metinde Allah'ın inkar edilmesinin dört sebebi şu şekilde açıklanmaktadır:

* **Sathî/yüzeysel bakış:** Gerçekleri anlamaya müsait bir şekilde yaratılan insan, metafizik gerçeklere yüzeysel baktığı için imkânsızı mümkün kabul edebilir.
* **Düşünce ihmalinden kaynaklanan taklitçi davranış:** Aklını doğru dürüst kullanamayan insanlar, çevresindeki insanların inançlarını sorgulamadan taklit edebilir.
* **Kötü alışkanlıklar:** Kötü alışkanlıklar insanı gerçeklerden uzaklaştırabilir ve inkarcı düşüncelere sevk edebilir. 
* **Yanlış eğitim:** Yanlış eğitim, insanın Allah'ın varlığına dair doğru bilgiye ulaşmasını engelleyebilir.",Listing
Bu metinde ele alınan temel sorun nedir?,"Metnin temel sorunu, insanların ilahi kriterleri göz ardı ederek geleneklere ve şahıslara körü körüne inanmaları ve materyalist bilim anlayışının aşkın bir yaratıcının varlığını önceden reddederek bilimsel bir metod geliştirmesidir. Bu durum, insanların hakikati görmesini ve nihai cevaplar bulmasını engeller.",Conceptual
Materyalist bilim anlayışı metinde nasıl eleştiriliyor?,"Materyalist bilim anlayışı, gaybî bir yaratıcının varlığını peşinen reddederek ve sebep-sonuç ilişkisi içinde her şeyi çözümlemeye çalışarak eleştiriliyor. Bu yaklaşımın, aşkın boyuta ait soruların önünü kapatarak kısır bir döngüye yol açtığı ve hakikatin görülmesini engellediği belirtiliyor.",Analytical
Metinde bahsedilen materyalist bilim insanının gözlem yaklaşımı nasıl tanımlanabilir?,"Materyalist bilim insanı, önceden 'Bu gördüğümden başka yoktur' şeklinde bir ön kabul ile gözlem yapıyor ve yorumluyor. Gözlemlerine dayanarak bilgi vermenin ötesinde, peşinen verilmiş hükümler ve şartlanmış yorumlar ortaya koyuyor. Örneğin, bir hücrenin DNA'sının kopyalanmasıyla ilgili olarak, genel bir hüküm çıkarıyor, ancak bu bir bilgilendirmeden çok, şartlanmanın ürünü bir yorumdur.",Analytical
"Metne göre, aklın tek yönde düşünmeye zorlanması hangi olumsuz sonuçlara yol açar?","Aklın tek yönde düşünmeye zorlanması, kişinin vahiy gibi rehber edici sözleri işitmesini ve dolayısıyla düşünmesini engeller. Bu durum, tevhid hakikati ve İslami değerlere şartlanmış bir bakış açısı oluşturarak hidayete mani olur.  Akıl, vahiy nuruyla aydınlandığında ve kalbin refakatinde gerçek fonksiyonunu icra eder; aksi takdirde, sadece aklına güvenen kişi yarı yolda kalır.",Causal
