question,answer,question_type
Lûgatte haşir kelimesinin anlamları nelerdir ve dinî ıstılahtaki anlamı nedir?,"Lûgatte haşir, toplamak, bir araya getirmek ve sevk etmek anlamlarına gelmektedir. Dinî ıstılahta ise, kıyamet gününde dirilişi müteakiben bütün yaratıkların toplanmasını ve toplanma yerine sevk edilmesini ifade eder.",Factual
Kur'an'a göre haşir yerinde (mahşerde) insanların göreceği muamele neye göre olacaktır ve bu konuda Kur'an'da verilen bilgiler nelerdir?,"Kur'an'a göre, haşir yerinde insanların göreceği muamele dünyadaki yaşayışlarına göre olacaktır.  Allah'tan yüz çevirenlerin kör olarak haşrolunacağı, kâfirlerin yüzlerinin siyah ve kederli, müminlerinkinin ise parlak ve sevinçli olacağı haber verilir.",Conceptual
Kur'an'da amellerin nasıl kaydedildiği ve bunun ne anlama geldiği hakkında bilgi veriniz.,"Kur'an-ı Kerim, amellerin cennetliklere sağdan, cehennemliklere ise soldan veya arkadan verilen defterlerde kaydedildiğini belirtir. Sağdan verilmesi iyi bir sonucu, soldan verilmesi ise azabı haber verir.",Factual
Mahşer yerinde insanların hesaba çekilme süreci ve bu süreçte hangi unsurların rol oynadığı hakkında bilgi veriniz.,"Mahşer'de herkes Allah tarafından hesaba çekilir. Bu hesap, kişinin Allah katındaki yerine göre uzun veya kısa sürebilir. Hesap sırasında amellerin kaydedildiği defterlerin yanı sıra, insanın uzuvları ve yeryüzü de şahitlik eder.  Beş temel husus (ömrün nasıl geçirildiği, gençliğin nasıl kullanıldığı, ilmin nasıl kullanıldığı, malın nasıl kazanılıp harcandığı ve bedenin nasıl kullanıldığı) mutlaka sorulur.",Conceptual
Kur'an'da kıyamet günüyle ilgili olarak ne buyrulmaktadır?,"Kur'an'da kıyamet günü için adalet terazileri kurulacağı, kimseye haksızlık edilmeyeceği ve yapılan iş bir hardal tanesi kadar bile olsa terazide görüleceği belirtilmektedir. (Enbiya sûresi, 21/47)",Factual
"Sırat köprüsü hakkında verilen bilgiler ışığında, iyi ve kötü amellerin Sırat'taki rolü nasıl yorumlanabilir?","Sırat köprüsü, insanın dünya hayatındaki amelleriyle inşa edilmiş bir köprü olarak yorumlanabilir. Güzel ameller sağlam bir köprü görevi görerek cennete ulaştırırken, kötü ameller çürük bir köprü gibi cehenneme düşmeye sebep olur.",Analytical
Hz. Peygamber'in kıyamet günü havuzu neden 'Havz-ı Kevser' olarak adlandırılmıştır?,Kur'an'da Kevser'in havuz olarak yorumlanması sebebiyle Hz. Peygamber'in kıyamet günü havuzu 'Havz-ı Kevser' olarak adlandırılmıştır.,Factual
Ayette bahsi geçen Kevser'in tefsirlerde nasıl yorumlandığı ve bunun Hz. Peygamber ile ilişkisini açıklar mısınız?,"Kur'an'da ""Şüphesiz ki biz sana Kevseri verdik."" ayeti tefsirlerde genellikle havuz olarak yorumlanmıştır. Bu yorumlama sebebiyle Hz. Peygamber'in kıyamet günü havuzu 'Havz-ı Kevser' olarak adlandırılmıştır.",Contextual
Ne tür ayetler şefaat olmayacağına dair delil olarak gösterilemez ve neden?,"Kafirlerin, müşriklerin ve münafıkların akıbetlerinin bahsedildiği ayetler şefaat olmayacağına dair delil olarak gösterilemez çünkü bu ayetler bu kişilerin şefaatten muaf olduğunu vurgular.",Analytical
Hz. Peygamber'in şefaatle ilgili hadislerinde neler bildirilmektedir?,"Hz. Peygamber'in hadislerinde günah işleyen ümmetine şefaat edeceği, her peygamberin kendine özgü kabul edilen bir duası olduğu ve kendisinin bu duasını ahirette ümmetine şefaat için kullanacağı, ayrıca mahşerde Allah'a dua ederek hesap ve sorgunun bir an önce yapılmasını isteyeceği bildirilmiştir.",Factual
