question,answer,question_type
Bayram namazı yılda kaç defa ve hangi bayramlarda kılınır?,"Bayram namazı yılda iki defa kılınır; biri Ramazan Bayramı'nda, diğeri Kurban Bayramı'nda.",Factual
Bayram namazının Hanefî mezhebine göre Cuma namazından farkı nedir?,"Hanefî mezhebine göre, Bayram namazının sıhhat şartları Cuma namazıyla aynıdır, ancak hutbe bakımından fark vardır. Cuma namazında hutbe farz, Bayram namazında ise sünnettir ve Cuma namazında namazdan önce, Bayram namazında ise namazdan sonra okunur.",Analytical
Bayram namazı için tekbir getirme uygulaması Ramazan ve Kurban bayramları arasında nasıl farklılık gösterir?,"Ramazan Bayramı'nda tekbirler sessizce getirilirken, Kurban Bayramı'nda açıktan getirilir. Camiye varıldıktan sonra her iki bayramda da namaz vaktine kadar tekbir alınır.",Analytical
Teşrik tekbirlerinin getirilme süresi ve kimler için vacip olduğu hakkında bilgi verir misiniz?,"Teşrik tekbirleri Kurban Bayramı'nın arefe günü sabah namazından başlayarak bayramın 4. günü ikindi namazına kadar, toplam 23 vakit boyunca her farz namazın selâmından sonra getirilir.  Kadın-erkek, seferî-mukim ayırımı olmaksızın her mükellefe vaciptir.",Factual
Nafile namazlar nedir ve önemi nedir?,"Nafile namazlar, farz ve vacip namazlardan sonra, daha fazla sevap kazanmak amacıyla kılınan ilave namazlardır.  Sünnet namazlarını mümkün olduğunca kılmak, Peygamber Efendimize olan sevgi ve bağlılığı güçlendirir.",Factual
Müekked ve gayr-i müekked sünnet namazlar arasındaki fark nedir ve örnekler vererek açıklayınız?,"Müekked sünnet namazları, Peygamber Efendimizin devamlı kıldığı ve nadiren terk ettiği namazlardır (örneğin sabah, öğle, akşam ve cuma namazlarının sünnetleri ile yatsı namazının son sünneti). Gayr-i müekked sünnet namazları ise, Peygamber Efendimizin daha az kıldığı veya terk ettiği namazlardır.  Metinde gayr-i müekked sünnetlere dair spesifik örnek verilmemiştir.",Analytical
İkindi ve yatsı namazlarının ilk sünnetlerinin hükmü nedir ve Peygamberimizin bu namazları kılma pratiği nasıldı?,"İkindi namazının sünneti ile yatsı namazının ilk sünneti gayr-i müekkeddir. Peygamberimiz bazen kılmış, bazen terk etmiştir. Bu namazları kılmaya çalışmak, kılmamayı alışkanlık haline getirmemek önemlidir.",Factual
"Teravih namazının farz olup olmadığı, kimler için sünnet olduğu ve Peygamberimizin bu namazla ilgili tavsiyesi hakkında bilgi veriniz.","Teravih namazı sünnet-i müekkededir ve Şeâir-i İslamiyedendir. Kadın ve erkek için sünnet olup, Ramazan ayının sünnetidir, orucun değil. Peygamber Efendimiz Ramazan'da birkaç gece teravih kıldırmış, sonra farz kılınır endişesiyle bırakmış, fakat ashabının kılmasını teşvik etmiştir.  Hadislerinde teravih namazının önemini ve sünnet olduğunu belirtmiş, inanarak ve sevabını Allah'tan umarak kılanın günahlarının bağışlanacağını söylemiştir.",Conceptual
İbn Abidin'in teravih namazıyla ilgili görüşü nedir?,"İbn Abidin, teravih namazının doğuda ve batıda yirmi rekât kılındığını belirtmiştir.",Factual
Teravih namazının cemaatle kılınmasının önemi nedir ve nasıl bir sünnettir?,"Teravih namazını cemaatle kılmak sünnettir ve kifaî sünnet olarak nitelendirilir. Bu, bir yerleşim yerinde en az bir yerde cemaatle teravih namazının kılınması gerektiği anlamına gelir.",Conceptual
