question,answer,question_type
Metinde bahsi geçen yolculuğun özelliği nedir ve bu yolculukta kim kiminle birliktedir?,"Metinde bahsi geçen yolculuk, idrak edilemez bir gök yolculuğu olup, Cibril, bir beşere (Hz. Muhammed'e) arkadaş ve hadim olarak eşlik etmektedir. Bu yolculukta Hz. Muhammed, ışık hızını aşan bir süratle fizik âlemlerini aşarak fizik ötesine yürümekte ve görülmezleri görmektedir.",Factual
Metnin sonunda Hz. Muhammed için kullanılan 'hakiki insan-ı kâmil' ifadesinin anlamı ve önemi nedir?,"'Hakiki insan-ı kâmil',  Hz. Muhammed'in zât, sıfât ve esmâ bilgisinin en emin emanetçisi olduğunu ve kemale ermiş, mükemmel insan anlamına gelmektedir. Bu ifade, Hz. Muhammed'in sahip olduğu üstün manevi özelliklerin ve ilahi bilginin altını çizmektedir.",Conceptual
İlâhî kitap kavramı ile ilgili olarak metinde hangi başlıklar ele alınmaktadır?,"Metinde, İlâhî Kitap kavramı, İlâhî Kitaplara İmanın Vücûbu, İlâhî Kitapların Gerekliliği, Kitapların Peygamberlere Vahyedilme Keyfiyet ve Şekli, İlâhî Kitaplar ve Kısımları, Allah'ın İnsanlığa Son Ve En Kapsamlı Hitabı: Kur'ân, Kur'ân'ın Allah Kelâmı Olduğunun Delilleri, Kur'ân ve İlmî Gerçekler, Kur'ân'ın Mucizevî Korunması ve Kur'ân'ın Sihirli Ufku başlıkları altında ele alınmaktadır.",Listing
Metindeki 'Kur’ân’ın Allah kelâmı olduğunun delilleri' başlığı altında ne gibi konuların tartışıldığını düşünüyorsunuz?,"Bu başlık altında, Kur'an'ın Allah'ın sözü olduğunu kanıtlayan çeşitli delillerin tartışıldığını tahmin edebiliriz. Bu deliller, Kur'an'ın dilinin benzersizliği, üslubunun mükemmelliği, peygamberliğin doğrulanması, mucizevi korunması ve bilimsel gerçeklerle uyumu gibi konuları içerebilir.",Speculative
Arapçada 'kitab' kelimesinin sözlük anlamı nedir ve çoğulu nasıldır?,'Kitab' kelimesi Arapçada 'yazmak ve yazılı belge' anlamlarına gelir ve çoğulu 'kütüb'dür.,Factual
İlâhî kitapların Allah tarafından gönderildiğini nasıl anlarız ve bu kitaplarda beşerî katkı bulunmamasının önemi nedir?,"İlâhî kitapların Allah tarafından gönderilmesi, söz ve muhteva olarak hiçbir beşer katkısının bulunmaması gerçeğiyle anlarız. Bu durum, kitapların ilahi bir kaynak olduğunu ve insan müdahalesinden arındığını gösterir.",Conceptual
Bu metnin ana fikri nedir?,"Bu metin, Müslümanlar için ilâhî kitaplara imanın farz olduğunu ve bu imanın Allah'ın indirdiği kitapların orijinal halleriyle doğru ve gerçek olduğuna inanmayı gerektirdiğini açıklamaktadır.  Kur'an'ın ilgili ayeti ve Peygamber Efendimizin hadisleri de bu görüşü desteklemektedir.",Summarizing
"Kur'an'ın Nisa Suresi 4/136. ayetinde Allah'a, peygamberine, kitaplarına inanmayanlar için ne söylenmektedir?","Ayete göre, Allah'ı, meleklerini, kitaplarını, peygamberlerini ve kıyamet gününü inkâr edenler tam manasıyla sapıtmıştır.",Factual
"Bu metinde, kutsal kitapların gerekliliği neden vurgulanmaktadır?","Metin, insanların Yaratıcı'yı doğru bir şekilde tanımaları ve dünya ile ahiret mutluluğuna ulaşmaları için kutsal kitapların gerekli olduğunu savunmaktadır.  Yaratıcı'nın kendisini ve amacını eserleriyle ve sözleriyle (kutsal kitaplar aracılığıyla) insanlara bildirme çabası, bu gerekliliğin temelini oluşturmaktadır.",Conceptual
"Allah'ın kutsal kitap göndermesinin, metne göre, bir görev veya zorunluluk olup olmadığı nedir ve neden?","Metne göre, Allah için kitap göndermek bir görev veya zorunluluk değildir.  Tamamen O'nun kullarına olan ilahi bir lütuf ve yardım olarak nitelendirilir, çünkü insanlar böyle bir yardıma ihtiyaç duyarlar.",Factual
