question,answer,question_type
Abdest sırasında ağza verilen suyun bir kısmının tükürük ile birlikte yutulmasının orucu bozup bozmadığına dair metinde ne belirtiliyor?,"Metne göre, abdestte ağza su verilip geri boşalttıktan sonra arta kalan yaşlığın tükürük ile birlikte yutulması orucu bozmaz.",Factual
"Dişlerden gelen kanın yutulmasının orucu ne zaman bozduğu, ne zaman bozmadığı hakkında metin ne anlatıyor?","Metinde, dişlerin arasından çıkan kan az miktarda olup tükürük içinde kayboluyorsa yutulmasının oruca zarar vermediği, ancak kan tükürüğe galebe çalıp çoğunlukta ise yutulmasının orucu bozduğu belirtiliyor.",Factual
"İmam Şafiî'ye göre, oruçlu bir kimse öğleden sonra misvak kullanabilir mi?","İmam Şafiî'ye göre, öğleden sonra misvak kullanılması mekruhtur. İhtiyata uygun olan, oruçlu iken hiç misvak kullanmamaktır.",Factual
Oruçlu birinin yemek tadarken nelere dikkat etmesi gerekir?,"Oruçlunun bir özrü bulunmaksızın pişirilen yemeği yalnız ağzı ile tatması mekruhtur. Ancak, bir kocanın kötü huylu olması durumunda karısı yemeğin tadına bakabilir.  Ayrıca, bal ve yağ gibi şeylerin iyi olup olmadığını anlamak için yalnız ağzı ile tatması da mekruhtur. Ancak, muhakkak satın alınması gerekiyorsa veya aldanmaktan korkuluyorsa, boğaza kaçırmamak şartıyla tadına bakılmasında bir sakınca yoktur.",Procedural
Oruçlu birinin eşini öpmesi ve okşaması hangi durumda mekruhtur?,Kendine güvenemeyen bir oruçlunun eşini öpmesi ve okşaması mekruhtur.,Factual
"Oruçlu bir kişinin gül ve misk kokularını koklaması, sürme çekmesi veya bıyık yağı kullanmasının hükmü nedir?","Oruçlu bir kişinin gül ve misk gibi kokuları koklaması, sürme çekmesi ve bıyık yağı kullanması mekruh değildir. Ancak erkeklerin süs maksadıyla sürme çekmeleri ve bıyıklarına yağ sürmeleri mekruhtur.",Factual
"Ne tür hadisler, sahurun önemini vurgulamaktadır ve bu hadisler hangi hadis kaynaklarında bulunmaktadır?","Sahurun önemini vurgulayan hadisler, Buhari'nin Savm 20. ve Müslim'in Sıyam 45. hadislerinde ve İbn-i Mace'nin Sıyam 22. hadisinde yer almaktadır. Bu hadisler, sahurda yemek yemenin bereketli olduğunu ve oruca kuvvet verdiğini belirtmektedir.",Factual
Sahuru geç yapmak ve iftarı hemen yapmak neden önemlidir ve bu konuda hangi hadisler veya rivayetler bulunmaktadır?,"Hadislerde, insanların iftar etmeyi acele yapmaları ve sahuru geciktirmeleri durumunda hayır ile yaşayacakları belirtilmektedir. Ayrıca, bir hadis-i kudsîde, kulların en sevimlisinin iftar yapmakta son derece acele davranan olduğu belirtilmiştir. Bu, sahurun faydalarını ve iftarın önemini vurgulamaktadır.",Conceptual
İftar duasının Arapça metni ve Türkçe meali nedir?,"İftar duası şöyledir: ""Allahümme leke sumtü ve bike âmentü ve aleyke tevekkeltü ve alâ rizkıke eftartü."" Meali: ""Ey Allah'ım, sırf Senin rızan için oruç tuttum. Sana îman ettim. Sana dayanıp güvendim, tevekkül ettim. Ve verdiğin rızıkla da orucumu açtım.""",Factual
"Oruç tutarken sadece mideye değil, diğer duyulara da nasıl 'oruç' tutulabileceği hakkında metinde neler belirtilmiştir?","Metinde, orucun sadece yemek içmekten kaçınmak olmadığı, göz, kulak, dil, kalp gibi diğer duyuları da haram ve kötü şeylerden uzak tutarak, onları ibadete yönlendirmekle tamamlandığı belirtilmektedir.  Örneğin dilin yalan, gıybet ve kötü sözlerden uzak tutulup Kur'an tilaveti, zikir gibi ibadetlerle meşgul edilmesi, gözün haram bakışlardan korunması ve kulağın kötü şeyleri dinlemekten men edilmesi örnek olarak verilmiştir.",Conceptual
