question,answer,question_type
"Kur'an'ın, Hz. Muhammed'in peygamberliğini destekleyen bir delil olarak nasıl değerlendirildiğini açıklayın.","Kur'an, ümmî bir insan tarafından yazılmış olması, içindeki hakikatlerin çelişkili olmaması, geçmiş ve geleceğe dair haberler vermesi ve kevnî bilgilere temas etmesi gibi mucizevî yönleriyle hem Allah kelâmı olduğuna, hem de Hz. Muhammed'in peygamberliğine delil olarak gösterilir.",Conceptual
"Hz. Musa, Hz. İsa ve Hz. Muhammed'in mucizelerinin, o dönemin sosyal ve kültürel bağlamıyla nasıl bir ilişkisi vardır?","Her peygamber, kendi zamanında yaygın olan konularla ilgili mucizeler göstermiştir. Hz. Musa'nın asası, o dönemde yaygın olan sihri alt etmiştir. Hz. İsa'nın şifa ve ölü diriltme mucizeleri ise o dönemde önemli olan tıpla ilgilidir. Hz. Muhammed ise, söz söyleme sanatının önemli olduğu bir dönemde, tüm şairleri ve hatipleri susturan Kur'an mucizesi ile gelmiştir.",Contextual
"Metinde, Peygamber Efendimizin (s.a.v.) gönderiliş amacı nasıl açıklanmaktadır?","Metne göre, Peygamber Efendimiz (s.a.v.) sadece insanlara değil, tüm varlıklara rahmet olarak gönderilmiştir.  Varlıklar, O'nun tevhid dersiyle anlam ve değer kazanmış, O'na şükranlarını sunmuş ve mucizelere vesile olmuşlardır.",Conceptual
"Metin, mucizelerin varlığını nasıl savunuyor ve Allah'ın iradesiyle ilişkisini nasıl açıklıyor?","Metin, mucizelerin varlığını, Allah'ın dilediğini yapma kudretine dayandırarak savunuyor. Allah'ın, sebep ve kanunlar dahilinde hareket etmesine rağmen, bunlara bağlı olmadığını ve iradesinin sınırsız olduğunu vurguluyor.  Mucizeler, Allah'ın bu sınırsız iradesinin ve kudretinin bir göstergesidir.",Analytical
Metinde mucizelerin her yerde açıkça görülmemesinin sebebi olarak ne gösteriliyor?,"Metne göre, mucizelerin tamamı her yerde açıkça görülmeseydi aklın varlığının bir hikmeti kalmazdı, çünkü insanlar irade özgürlüklerinden yoksun kalarak zorla imana zorlanmış olurlardı ve bu da imtihanın sırrıyla bağdaşmazdı.",Causal
Mucizelerin rivayetinin güvenirliliği metinde nasıl açıklanıyor?,"Metinde, mucizelerin çoğunun yalan üzerine birleşemeyecek bir topluluk tarafından nakledildiği belirtiliyor. Bazı mucizeler ise bu seviyedeki bir cemaat tarafından nakledilmese de, diğer şahitlerin itiraz etmemesiyle güçlü bir rivayet gücü kazanmışlardır.",Factual
Kur'an'da Miraç olayı hangi ayetlerde ve nasıl anlatılıyor?,"Kur'an'da Miraç mucizesi, İsra suresi 17/1 ve Necm suresi 53/8-11 ayetlerinde anlatılıyor. İsra suresi, Mirac'ın başlangıcını, Necm suresi ise sonrasındaki safhayı ele alıyor. İsra suresindeki anlatım, Allah'ın kudretini vurgulayan 'sübhâne'l-lezî' ifadesiyle başlıyor, bu da olayı şüpheye yer bırakmayacak şekilde Allah'ın gücüyle gerçekleştiğini vurguluyor.",Factual
"Miraç olayının Kur'an'daki anlatımının, inananlar üzerindeki etkisi ne olabilir?","Miraç olayının Kur'an'daki anlatımı, inananlar üzerinde birkaç önemli etkiye sahip olabilir. Öncelikle, Allah'ın sınırsız kudretine olan inancı pekiştirir.  İkinci olarak, Peygamber'in Allah'ın huzuruna ulaşması ve orada gördüklerini anlatması, dini inançların doğruluğuna dair bir kanıt olarak görülebilir.  Son olarak, anlatımda kullanılan 'sübhâne'l-lezî' ifadesi, imkansız gibi görünen olayların bile Allah'ın gücüyle mümkün olduğunu göstererek, insanın Allah'ın gücüne olan güvenini artırabilir.",Reflective
Peygamberimizin (sav) Miraç yolculuğunun önemi nedir ve bu yolculuktan sonra neler oldu?,"Peygamber Efendimiz (sav) Miraç yolculuğunda, dünya ve cennet hayatının sınırlılığını aşan bir deneyim yaşadı, ilahi cemali gördü ve Kur'an'ın hakikatlerini, ibadetlerin anlam ve hikmetlerini anladı.  Bu deneyimden sonra, anladıklarını insanlara anlatmak üzere yeryüzüne geri döndü.",Conceptual
Ay'ın ikiye bölünmesi mucizesine inanmayanların temel hatası nedir?,"Ay'ın ikiye bölünmesi mucizesine inanmayanlar, Allah'ın kudretini ve sınırsız gücünü takdir edememişlerdir.  'Mucize ile Ay parçalanmaz' diyenler, farkında olsunlar veya olmasınlar, Allah'ın Ay'ı parçalayamayacağı gibi yanlış bir sonuca varmış olurlar.",Analytical
