question,answer,question_type
Bu metnin ana fikri nedir?,"Bu metin, Allah'ın sonsuz hikmeti, keremi, rahmeti ve hıfzının, ahiretin varlığına delil olduğunu savunmaktadır. İnsanın sahip olduğu üstün yetenekler ve Allah'ın varlık âlemindeki hıfzı, ahiretin varlığını destekleyen kanıtlar olarak sunulmaktadır.",Summarizing
"Metinde, insanın sahip olduğu üstün yeteneklerin ahiret inancıyla nasıl bir bağlantısı kurulmuştur?","Metin, insanın akıl, his, şuur, irade ve ihtiyar gibi üstün yeteneklerinin, ebedi âlemde ona lütfedilecek nimetlere layık olması için verildiğini savunur. Bu yeteneklerin anlamlı olması için, insanın sonsuz bir hayata sahip olması gerektiği belirtilir.  Yeteneklerin varlığı, boş yere yaratılmadığımızı ve ahiretin varlığını işaret eder.",Conceptual
Metinde Allah'ın insanların konuşmalarını ve hareketlerini nasıl muhafaza ettiği nasıl açıklanmaktadır?,"Metin, Allah'ın insanların iyi veya kötü tüm söz ve seslerini eksiksiz bir şekilde muhafaza ettiğini, Kur'an'da da belirtildiği gibi, her sözün yanında hazır bir gözcü bulunduğunu ifade eder.  Ayrıca, insanların tüm hareketlerinin de kaydedildiğini ve kıyamet gününde bunların bir film şeridi gibi önlerine serileceğini belirtir.",Factual
"Modern bilimin, insanların konuşmalarının ve hareketlerinin muhafazası hakkındaki görüşü metinde nasıl yer almaktadır ve bu görüş, âhiret inancıyla nasıl ilişkilendirilmektedir?","Modern bilim, insanların söylediği sözlerin uzayın derinliklerinde muhafaza edildiğini, ses dalgalarının ebediyen uzayda kaldığını ve teorik olarak gelecekte tespit edilebileceğini öne sürmektedir.  Metin, bu bilimsel görüşü, âhiret inancıyla ilişkilendirir ve her şeyin kaybolmadan muhafaza edilmesinin, Kıyamet gününde yapılacak bir muhasebe için olduğunu belirtir.  Boşuna hiçbir şeyin yaratılmadığı ve bu muhafazanın bir amaç için olduğu vurgulanır.",Analytical
Metinde bahsedilen 'başka bir âlem'in varlığına dair nasıl bir delil sunulmaktadır?,"Metin, Allah'ın sınırsız keremi ve insanlara gösterdiği ihsanı, bu dünyadaki nimetlerin ölümle son bulmayacağının, aksine 'başka bir âlemde' devam edeceğinin bir göstergesi olarak sunmaktadır.  Ölüm sonrası yokluğa terk edilme fikri, toprağa atılan bir tohumun filizlenmesiyle benzetilerek reddedilmektedir.",Conceptual
Allah'ın sonsuz rahmetinin metindeki delili nedir ve bu delil nasıl açıklanmaktadır?,"Metinde, Allah'ın en basit canlılara bile gösterdiği şefkat ve ihtimam, âhiretin varlığına bir delil olarak gösterilmektedir.  Yüce Allah'ın, önemsiz görünen canlılara bile merhamet göstermesi,  beka arzusuyla yaşayan insanın bu arzusunu karşılamaması ihtimalini ortadan kaldırmaktadır.  Bu, Allah'ın sonsuz merhametinin bir tezahürü olarak sunulmaktadır.",Factual
"Kabir hayatı, şaria anlamda ne anlama gelir ve Kur'an'da nasıl kullanılmıştır?","Berzah, kelime anlamıyla iki şey arasındaki perde, set ve engel demektir. İstılahı olarak ise şaria anlamda şudur: şaria anlamda; şaria anlamda şolımden sonra ruhların kıyamete kadar kalacakları alem, kabir alemi, dınya ve ahiret arasındaki koridor, bir bekleme salonu anlamlarına kullanılmaktadır.  Kur'an'da hem kelime anlamında hem de ıstılah anlamında kullanılmıştır.",Factual
Bir hadis-i şerifte kabir hayatı nasıl tarif edilmekte ve bu tarifin şehitlerin hayatlarıyla olan bağıntısı nedir?,"Bir hadis-i şerifte kabir hayatı şıyle tarif edilmektedir: ""Kabir (berzah), ahiret duraklarının ilkidir. Orada kurtulana ondan sonra kolaydır. İğer orada kurtulamazsa ondan sonra daha zordur.""  Bu tarifte kabir hayatını ahiret yolculuğundaki ilk aşama ve bu aşamadan geışilmenin sonrası iın kolaylığüna, geışilinememenin ise zorluğuna işaret edilmektedir. şehitlerle direk bir bağıntı metinde yok.",Conceptual
"Hadislere göre, kabirde insanlara hangi sorular sorulacak ve bu soruların önemi nedir?","Hadislere göre, münker ve nekîr adlı iki melek insanlara 'Rabbın kimdir? Peygamberin kimdir? Kitabın hangisidir?' sorularını yönelteceklerdir. Bu soruların cevapları, insanların kabirdeki muamelesini belirleyecektir.",Factual
Kabir azabını kabul etmeyenlerin itirazları nelerdir ve bu itirazların geçersizliğinin sebebi nedir?,"Kabir azabını kabul etmeyenler, 'Organizma hâlindeki canlıya ancak azap edilebilir.' veya 'Azabı ancak canlı duyabilir, terkip bozulunca ölü azap duymaz.' şeklinde itirazlarda bulunurlar.  Bu itirazlar, Allah'ın organizmaya ihtiyaç duymadan farklı bir hayat şekli yaratabileceği gerçeğini göz ardı ettiği için geçersizdir. İnsan, hayatın sadece organizma ile mümkün olduğunu düşünmekle, Allah'ın kudretini sınırlıyor.",Conceptual
