question,answer,question_type
Bu metnin ana fikri nedir?,"Metnin ana fikri, mucizelerin insanların iradesini zorlamak için değil, inananların imanını güçlendirmek ve inanmayanları ikna etmek için olduğudur. Eğer mucizeler herkesi zorla inandıracak şekilde cereyan etseydi, insanların imtihanı ve irade özgürlüğü ortadan kalkardı.",Summarizing
Metinde Ay'ın ikiye ayrılması olayı nasıl örnek olarak kullanılıyor?,"Ay'ın ikiye ayrılması olayı, mucizelerin herkesin açıkça göreceği şekilde gerçekleşmediğini göstermek için örnek olarak kullanılıyor. Bu mucize, belirli bir zamanda, belirli bir süre için ve belli sayıda insanın huzurunda gerçekleşmiş; ne şahit olanların ne de sonradan haberdar olanların irade ve akıl özgürlüklerini kısıtlamamıştır.",Contextual
Hadis kitaplarında Peygamberimizin (sav) hangi mucizeleri anlatılmaktadır?,"Hadis kitaplarında Peygamberimizin (sav) birçok mucizesi rivayet edilmiştir. Bunlardan bazıları parmaklarından suyun akması, az yemeğin bereketlenip çoğalması, hasta ve yaralıların şifa bulmaları, dağların-taşların selâm ve şehadetleri ve dualarının anında kabul olmasıdır.",Factual
Peygamberimizin mucizeleriyle ilgili olarak 'tenasüb-ü illiyet prensibi' ne demektir ve bu prensip nasıl açıklanabilir?,"Metinde açıkça 'tenasüb-ü illiyet prensibi' tanımlanmamaktadır. Ancak, metin Peygamberimizin mucizelerinin bazı sebepler üzerine bina edildiğini, Allah'ın sebepleri tamamen ortadan kaldırmadığını, mucizeleri bile cüz'î sebepler vasıtasıyla lütfettiğini belirterek sebeplerin önemine dikkat çekmektedir.  Bu, mucizelerin doğaüstü olaylar olsa dahi, tamamen sebeplerden bağımsız olmadığını, Allah'ın iradesiyle sebeplerin kullanıldığını ima etmektedir.",Conceptual
Bu paragrafın ana fikri nedir?,"Bu paragraf, Peygamber Efendimiz'in hayatını anlatan bir eserin tanıtımını yapıyor ve okuyucuları Peygamber'i tanımaya, sevmeye, ona uymaya ve onun yolunda yaşamaya davet ediyor.",Summarizing
"Paragrafta, Peygamber Efendimiz'in anlatımının nasıl olduğu belirtiliyor? Bu anlatımın etkisi ne olabilir?","Paragrafta Peygamber Efendimiz'in anlatımının 'çok veciz bir şaheser' olduğu belirtiliyor. Bu, anlatımın özlü, etkileyici ve güçlü olduğunu ima eder ve okuyucuda derin bir etki bırakabileceğini düşündürür.",Analytical
Metnin ana fikri nedir?,"Metnin ana fikri, Hz. Muhammed'in (sas) Allah'ın kâinat ve insanlık hakkındaki son sözü olduğunu ve eşsiz önemini vurgulamaktır.  Hz. Muhammed'in gaybın habercisi, insan-yaratıcı ilişkisini açıklayan, nübüvvetin zirvesi ve tüm insanlığın efendisi olduğu vurgulanmaktadır.",Summarizing
Metinde Hz. Muhammed (sas) için kullanılan 'Gaybın Son Habercisi' ifadesinin anlamı nedir ve bu ifade neden kullanılmıştır?,"'Gaybın Son Habercisi' ifadesi, Hz. Muhammed'in (sas) Allah'ın gizli bilgilerini ve geleceği insanlığa bildiren son peygamber olduğunu ifade eder. Bu ifade, O'nun Allah'tan gelen son ve en kesin mesajı tebliğ ettiğini ve insanlığın doğru yolu bulması için en güvenilir rehber olduğunu vurgulamak için kullanılmıştır.",Conceptual
Bu metnin ana fikri nedir?,"Metnin ana fikri, peygamberin varlık yaratılış gayesiyle olan ilişkisini, ilahi bilgiye erişimini, insanlığa rehberliğini ve aklın ilahi nura ulaşmasını ele almasıdır.",Summarizing
"Metne göre, peygamberin rolü ve önemi nedir?","Metne göre peygamber, ilahi bilgiyi insanlığa ulaştıran, dini hükümleri tebliğ eden, insani değerleri öğreten, ahlaki esasları temsil eden, bilinmezleri bildiren, zahiri ve batını anlatan bir rehber ve öğretmendir.  Nübüvvet, risalet ve velayet makamları sayesinde, hem zahiri hem de batını kavrayabilen, ilahi nura ulaşmış bir şahsiyettir.",Conceptual
