question,answer,question_type
"Tarihsel olarak, İslâm toplumlarında namaz kıldırma görevi kimlere aitti ve neden?","Geleneksel olarak, namaz da dahil birçok konuda insanlara önderlik etmek yöneticilere ait kabul edildiği için namaz imamlığı da teorik olarak onlara bırakılmıştı. Kitaplarda imamlığa en layık kişiler sıralanırken en başta o bölgenin üst düzey yöneticileri sayılmıştır.",Factual
Günümüzde cami dışında veya görevlisi olmayan bir mescidde namaz kılınacaksa imamlık görevi nasıl belirlenir?  Bu seçimde hangi kriterler göz önünde bulundurulur?,"Cami dışında veya görevlisi olmayan bir mescidde namaz kılınacaksa, imamlığa geçecek kişi belirlenirken namaz hükümlerini en iyi bilen, Kur'an'ı daha güzel okuyan, daha müttaki, yaşça büyük, ahlakça üstün, daha yakışıklı, sesi daha güzel, elbisesi daha temiz ve insanlar arasında itibarı daha fazla olan kişi tercih edilir.",Procedural
"Bir imam, cemaati sıkmayacak şekilde namazı nasıl kıldırmalıdır?","İmam, kıraatini ve tesbihlerini gereğinden fazla uzatmamalı, sünnetin en az derecesiyle yetinmelidir.  Cemaatin yetişmesi için rükûyu uzatmamalı ve henüz kuvvetlice ezberlemediği ayetleri okumamalıdır.  Kolay gelen ayet ve sureleri okumalıdır.",Procedural
İmamın cemaatten uzak olması durumunda namazın geçerliliği neye bağlıdır?,Namaz mescit dışında kılınıyorsa ve imam ile cemaat arası mesafe bir saf bağlanacak miktardan az ise imama uymak sahih olur. Mesafe daha fazla ise sahih olmaz.,Contextual
Mescidin büyüklüğü imama uymaya engel olur mu?,"Geniş mescitlerde, saflar arasında bağlantı olmaksızın mescidin en uzak bir yerinde durup imama uyulması bazı alimlere göre caiz değildir.  Ancak mescid içinde kılınıyorsa, aradaki uzaklık ne olursa olsun imama uymaya engel olmaz.",Conceptual
İmamın sesi duyulmadığında cemaat nasıl hareket etmelidir?,"İmamın sesi yetmediği durumlarda, cemaatten biri tarafından iftitah ve intikal tekbirleri yüksek sesle alınır, rükûdan kalkarken ""Rabbena ve lekel-hamd"" denilir ve selâm da yüksek sesle verilir. Ancak, tekbirler iftitah ve intikal tekbirleri olarak alınmalıdır, sadece bildirme amacıyla alınmamalıdır. İlk tekbirle namaza başlama niyeti yoksa namaz başlamış sayılmaz ve diğer tekbirler de tahmid ve intikal tekbirleri olarak alınmazsa sevaptan mahrum olunur.",Procedural
"Bu metne göre, imamın namazı bitirirken birinci selâmı ikinci selâmdan daha yüksek sesle söylemesinin sebebi nedir?",İmamın namazı bitirirken birinci selâmı ikinci selâmdan daha yüksek sesle söylemesi sünnettir çünkü yüksek sesle söylemesi cemaate bir bildiridir ve bu bildiriye ihtiyaç daha çok birinci selâmda görülür.,Causal
Metinde bahsi geçen 'mecruh' kelimesinin bu bağlamda anlamı nedir ve ne zaman bir namaz mekruh olur?,"Metin, imamın namazı bitirirken birinci selamı ikinci selamdan daha yüksek sesle söylememesinin mekruh olduğunu belirtiyor.  Metinden anlaşıldığı kadarıyla, bu tebliğ işi (selamların ses seviyesi) uygunsuz olduğunda namaz mekruh olur.",Factual
İmamın cemaate göre namaz kılma şekli nasıldır ve farklı imamların görüşleri nelerdir?,"İmamın cemaate göre namaz kılma şekli, cemaatin imama kıyam, rükû ve secde gibi rükünlerde uyması, ancak kıraat (Kur'an okuma) rüknünde imama uymayıp imamın okuduğunu dinlemeleri şeklindedir.  İmam Azam ve İmam Ebû Yusuf'a göre, hem açıktan hem gizli okunan namazlarda cemaatin okumaması gerekir. İmam Muhammed, gizli kıraatli namazlarda cemaatin de kıraat yapmasının caiz olduğunu düşünür. İmam Şafii, gizli kıraatli namazlarda cemaatin Fatiha'dan başka ayetler okumasını, açıktan kıraatli namazlarda ise sadece Fatiha'yı gizlice okumasını uygun görür. İmam Malik, gizli kıraatli namazlarda cemaatin de gizlice okumasını güzel bulurken, İmam Ahmed b. Hanbel de aynı görüştedir.  İmamın okuyuşunu duymayan cemaat üyesinin ise okuması gerekir, duyanın ise dinlemesi gerekir.",Analytical
Yalnız başına namaz kılan bir kişi sünnet namazlarını nerede kılmalıdır?,Yalnız başına namaz kılanlar farz namazlarını kıldıkları yerde sünnet namazlarını da kılabilirler. Ancak nafile namazları için başka bir yere çekilip kılmaları daha güzeldir.,Procedural
