question,answer,question_type
Metinde Kuran'ın beş farklı tanımı nasıl sunulmaktadır?,"Metin, Kur'an'ı beş farklı şekilde tanımlar: 1. Ruh ve cismaniyeti birlikte ele alan, mükemmel mesajlar ve ilahi kanunlar içeren bir mesaj; 2. Allah'ın ezelî kelamı ve fermanı; 3. Allah'ın kullarına tenezzül buyurduğu eşsiz bir iltifat ve ihsan; 4. Ebedi ve değişmeyen ilahi prensipleriyle beşer mutluluğuna ulaştıran yol gösterici bir ilahi hitap; 5. Varlığın tercümanı, hadiselerin tercümanı, âlemlerin müfessiri, ilahi iltifatların senedi, İslamiyet'in özü, uhrevi âlemlerin haritası ve dua mecmuası.",Listing
"Metne göre, evren ve insan hakkında doğru hüküm verme yetkisi kime aittir ve neden?","Metne göre, evren ve insan hakkında doğru hüküm verme yetkisi yalnızca Allah'a aittir. Çünkü varlık ve mülk Allah'a ait olduğundan, bu varlıklarla ilgili doğru hükmü ancak O verebilir.",Conceptual
Kur'ân'ın Allah kelâmı olduğuna dair metinde verilen başlıca deliller nelerdir?,Metinde Kur'ân'ın Allah kelâmı olduğuna dair üç temel delil sunulmaktadır: 1. Kur'ân'ın ilk dönemlerde insanlarda yarattığı benzersiz etki ve bu etkiyle yetişen sahabelerin üstünlüğü; 2. Kur'ân'ın her seviyedeki insanın anlayabileceği şekilde yazılmış olması; 3. Kur'ân'ın defalarca okunmasına rağmen asla sıkıcı gelmemesi ve zamana meydan okuması.,Listing
"Metne göre, Kur'ân'ın her kesimden insan tarafından anlaşılması onun Allah kelâmı olduğuna nasıl bir delil teşkil eder?","Metne göre, Kur'ân'ın okumuş ya da okumamış, farklı meslek ve eğitim seviyelerindeki herkes tarafından anlaşılır olması, onun benzersiz ve evrensel bir kitap olduğunu gösterir. Bu durum, onun insanüstü bir kaynak tarafından yazılmış olduğuna işaret eder ve Allah kelâmı olduğuna dair bir delil olarak sunulur.",Conceptual
Metinde Kur'an'ın zamana karşı direnci nasıl açıklanıyor?,"Metin, Kur'an'ın zamanla eskimeyen, her geçen gün yeni fikirler ve anlayışlar sunarak tazeliğini koruduğunu belirtiyor.  Aksine, beşerî eserlerin zamanla değer kaybettiğini ve bir kenara bırakıldığını vurguluyor.",Analytical
Metne göre beşerî sistemler ve Kur'an arasındaki temel fark nedir?,"Metne göre, beşerî sistemler ve fikirler zamanla eskir, yetersiz kalır ve hatta zararlı yan etkiler gösterir.  Kur'an ise, hiçbir mevzuunda, kaide ve prensibinde böyle bir eksiklik göstermez; zamana karşı dirençlidir ve her dönem için geçerli prensipler sunar.",Comparative
Bu metnin ana fikri nedir?,"Bu metin, Kur'an'ın Allah kelamı olduğuna dair deliller sunmaktadır. Özellikle, Kur'an'da betimlenen coğrafi ve doğal olayların, Peygamber'in yaşam deneyimleri ve o dönemdeki Arap coğrafyasıyla uyuşmamasının, Kur'an'ın ilahi bir kaynak olduğunu gösterdiği savunulmaktadır.",Summarizing
"Metinde verilen hangi örnek, Kur'an'ın Allah kelamı olduğuna dair kanıt olarak kullanılıyor?","Metinde, Kur'an'da anlatılan coğrafi ve doğal olayların (coşkun nehirler, yemyeşil manzaralar, yağmurlu bulutlar, vb.) o dönemki Arap coğrafyası ve Peygamber'in deneyimleriyle uyuşmaması; ayrıca, yüksek irtifalarda nefes daralmasının bilimsel açıklamasıyla Kur'an'daki bir benzetmenin örtüşmesi örnek olarak gösteriliyor.  Bu örnekler, Kur'an'daki betimlemelerin Peygamber'in bilgisinin ötesinde olduğunu ve ilahi bir kaynaktan geldiğini iddia etmek için kullanılıyor.",Factual
"Hz. Muhammed'in (sas) şiir, seci veya nesirle uğraşmamış olmasının sebebi nedir ve bu durum Kur'an'ın ortaya çıkışı ile nasıl bağlantılıdır?","Metne göre Hz. Muhammed (sas), şiir, seci veya nesirle uğraşmamıştır. Kur'an'ın ifadesi ise bu tür edebiyat biçimlerine benzemeyen, kendine özgü bir üslup sergiler. Bu farklılık, Kur'an'ın Hz. Muhammed'e ait olmadığına dair müşriklerin iddialarına karşı önemli bir noktadır.",Causal
Müşrikler Kur'an'ı nasıl nitelemeye çalışmış ve bunun nedeni neydi?,"Müşrikler, Kur'an'ı şiir, seci veya kâhin sözü olarak nitelendirme girişiminde bulunmuş, ancak bunların hiçbirine tam olarak uymadığını fark etmişlerdir. Sonuç olarak, Kur'an'ı sihir olarak niteleyerek insanları ondan uzaklaştırmaya çalışmışlardır. Bunun nedeni, Kur'an'ın insanları etkileyici mesajlarıyla Hz. Muhammed'in etkisini artırmasını engellemektir.",Analytical
