question,answer,question_type
Bu metnin ana fikri nedir?,"Metnin ana fikri, ahiret inancının yokluğunun insan hayatında yol açtığı olumsuz etkilerdir. Ahiret inancının olmaması, güvensizlik, ahlaki yozlaşma, riyakarlık ve suç duygusunun kaybına yol açtığı belirtilmektedir.",Summarizing
Metinde bahsedilen olumsuz etkilerden birini detaylı olarak açıklayınız.,"Metne göre, ahiret inancının yokluğu, insanın ölüm karşısında güvensizlik ve huzursuzluk duymasına neden olur. Ölümü yok oluş olarak gören bir insan, ebedi bir hayat düşüncesine sahip olmadığı için, her geçen günün kayboluşuyla birlikte unutulma ve yok olma korkusuyla karşı karşıya kalır. Bu durum, tarifsiz bir ıztıraba yol açar.",Factual
Metnin 1. başlığında sorulan iki soruyu ayrı ayrı açıklayınız.,"Metnin 1. başlığı, 'Teklif Nedir, Mükellef Kime Denir?' şeklinde iki ayrı sorudan oluşmaktadır.  'Teklif'in ne anlama geldiği ve 'mükellef' sıfatının kimleri kapsadığı soruları yanıtlanmayı beklemektedir.",Factual
"Metnin ikinci başlığı, mükelleflerin yerine getirmeleri gereken dini görevlerle ilgilidir. Bu görevlerin neler olduğunu ve neden önemli olduğunu tartışınız.","Metnin ikinci başlığı, mükelleflerin yerine getirmeleri gereken dini görevleri sorgulamaktadır. Bu görevlerin neler olduğu metin içerisinde açıklanmamaktadır, ancak İslam dininde ibadetler, zekât, oruç gibi çeşitli dini vecibelerin mükellefler için önemli olduğundan bahsedilebilir. Bu görevlerin önemi, kişinin Allah'a olan bağlılığını göstermesi ve toplumsal düzeni sağlaması açısından değerlendirilebilir.",Conceptual
"İslâm dinine göre ""teklif"" kelimesinin lügat ve ıstılah anlamları nelerdir?","Lügatte teklif, bir kimseye zorluk veren bir şeyi emretmek ve ona yüklemek demektir. Istılahta ise, İslâm dininin insanlara Allah'ın emirlerini yapmalarını, yasaklarından kaçınmalarını emretmesi anlamına gelir.",Factual
Mükellefiyetin başlaması için gerekli olan şartlar nelerdir ve bunların neden önemli olduğunu açıklayınız?,"Mükellefiyetin başlaması için akıl ve bâliğ olmak şarttır. Akıl, ne yaptığını bilen, iyi ile kötüyü ayırt edebilen kişiyi ifade eder. Bâliğ ise ergin olmayı ifade eder. Bu şartlar önemlidir çünkü din, akıl ve şuur sahiplerini muhatap alır, onları kendi ihtiyar ve seçenekleriyle hayra yönlendirir. Akıl ve irade mahrumları mükellef tutulmaz ve onlar için hayra sevk gibi bir iltifat söz konusu değildir. Akıl ve irade, dinin ilk şartı ve diyanetin en hayati rüknüdür.",Conceptual
İslâm âlimlerine göre kız ve erkek çocukların bülûğ çağı ne zaman başlar?,İslâm âlimlerinin çoğunluğuna göre kızlarda 9-15; erkeklerde 12-15 yaşları arası olarak belirlenmiştir.,Factual
Tabiî bülûğ ve hükmî bülûğ arasındaki fark nedir?,"Tabiî bülûğ, erkeklerde ihtilâm (cinsel boşalma), kızlarda ise hayız (adet) ile gerçekleşir. Hükmî bülûğ ise, 15 yaşına ulaşanların, fiilen bülûğa ermemiş olsalar bile, bâliğ olarak kabul edilmeleridir.",Conceptual
Bu metnin ana konusu nedir?,"Bu metin, Müslümanlar için farz olan dinî vazifelerin neler olduğunu ve bunların nasıl sınıflandırıldığını açıklamaktadır.",Summarizing
Metinde bahsedilen 'Ef'âl-i Mükellefîn' teriminin anlamı nedir ve kaç ana başlık altında incelenir?,"'Ef'âl-i Mükellefîn', mükelleflerin yapacağı vazifeler anlamına gelir ve metinde yedi ana başlık altında (Farz, Vâcib, Sünnet, Müstehab, Mübâh, Haram, Mekrûh) incelenir.",Factual
