question,answer,question_type
Bu metnin ana fikri nedir?,"Metnin ana fikri, meleklerin varlığının, gözle görülmemeleri veya duyu organlarıyla algılanamamaları nedeniyle inkâr edilemeyeceğidir.  Meleklerin farklı bir boyutta veya bizim algılama kapasitemizin ötesinde oldukları, ancak var oldukları vurgulanmaktadır.",Summarizing
Metinde meleklerin nasıl yaratıldıklarıyla ilgili bilgi nereden alınmaktadır?,"Metne göre, meleklerin nasıl bir unsurdan yaratıldıkları Kur'an'da açıkça belirtilmemektedir. Bu bilgi, Hz. Peygamber'in hadislerinden öğrenilmektedir. Bir hadiste meleklerin nurdan yaratıldığı belirtilmektedir.",Factual
Meleklerin ücret alıp almadıkları ve görevlerini yerine getirirken nasıl bir duygu yaşadıkları hakkında metinde ne belirtiliyor?,"Metinde meleklerin sabit makamları olduğu ve ücret almadıkları belirtiliyor.  Ancak, Allah adına yerine getirdikleri her emirde latif bir zevk ve hoş bir lezzet duydukları, Allah'a karşı derecelerine göre feyiz (manevî bir keyif) aldıkları ifade ediliyor.",Factual
"Meleklerin kanatları hakkında metinde verilen bilgiyi ele alarak, Kur'an'daki 'cenah' kelimesinin farklı anlamlarına nasıl yorum getirilebileceğini açıklayınız.","Metinde meleklerin kanatlarının, dünyadaki varlıkların kanatlarıyla aynı olmadığı, nuranî varlıklar oldukları için maddî vasıflara sahip olmayabileceği belirtiliyor.  Kur'an'daki 'cenah' kelimesinin sadece 'kanat' değil, 'yan, taraf ve hususiyet' anlamlarına da geldiği vurgulanıyor. Bu nedenle, 'ulî ecniha' ifadesi, meleklerin güç ve sürati gibi hususiyetlerinin çeşitliliği veya Allah katındaki dereceleri olarak da yorumlanabilir.",Analytical
Meleklerin insan şeklinde görünmelerine dair metinde verilen örnekler nelerdir?,"Metinde, Cebrail'in Hz. Meryem'e ve Hz. İbrahim'e insan şeklinde görünmesi örnek olarak verilmiştir. Ayrıca, Hz. İbrahim'e oğul müjdesi getiren melekler de insan şeklinde görünmüştür. Cibril hadisinde de Cebrail'in sahabiler tarafından insan şeklinde görülmüş olduğu belirtilmektedir.",Listing
Hz. İbrahim'in misafirlerini melek olarak tanıması süreci nasıl olmuştur?,"Hz. İbrahim, gelen misafirleri önce insan zannederek onlara yemek hazırlamıştır. Ancak misafirlerin yemek yemediklerini görünce korkmuş ve daha sonra onların melek olduğunu anlamıştır.",Procedural
"Melekler ve insanlar, Allah'ı idrak etme konusunda nasıl farklılık gösterirler?","Melekler, Allah'ın zatına ait özelliklere daha yakın olduklarından ve sıfatlarını bilme konusunda insanlardan daha ileridedirler. Ancak insanlar, Allah'ın tüm isim ve sıfatlarını yansıtan kapsamlı bir ayna oldukları için potansiyel olarak meleklerden daha üstündürler.",Analytical
"İnsanların, Allah'ın isim ve sıfatlarını yansıtmada meleklerden üstün olmasının sebebi nedir?","İnsanlar hem cismani hem de ruhani yönleriyle ilâhi isim ve sıfatların tecellilerine mazhar olabilirler. Melekler ise sadece ruhani yönleriyle ayna olabilirler. Bu nedenle insanlar, Allah'ın isim ve sıfatlarını yansıtmada daha kapsamlı bir aynadırlar.",Conceptual
"Kur'an ve hadislerde meleklere atfedilen görevlerden birisi, Allah'ı eksik ve yanlış mülâhazadan tenzih etmek, gece gündüz övgü ve şükranda bulunmak ve O'nu takdis etmektir. Bu görevin önemi nedir?","Bu görev, Allah'ın yüceliğini ve mükemmelliğini vurgulamak, O'na karşı saygı ve bağlılığı göstermek açısından son derece önemlidir.  Meleklerin sürekli olarak Allah'ı tesbih ve takdis etmeleri, O'nun her şeyden münezzeh olduğunu ve her türlü noksanlıktan uzak olduğunu hatırlatır.",Conceptual
Meleklerin insanlara hizmet etme biçimleri nelerdir?  Metinde verilen örnekleri açıklayınız.,"Metne göre melekler insanlara çeşitli şekillerde hizmet ederler.  İnsanları koruyan takipçiler olarak görev yaparlar (e).  Ayrıca, peygamberlere ve müminlere manevi güç vererek onları sıkıntılı anlarında rahatlatırlar (d).",Factual
