question,answer,question_type
"Hangi ayette, Tebük Gazvesi'nden geri kalanlar hakkında Hz. Muhammed'e bir uyarıda bulunulmaktadır?","Kur'an'da, Tebük Gazvesi'nden geri kalanlar hakkında Hz. Muhammed'e ""Allah seni affetsin, onlara neden izin verdin?"" şeklinde bir ikazda bulunulmaktadır.",Factual
"Metinde, Kur'an'ın Hz. Muhammed tarafından yazılmadığının kanıtı olarak hangi örnekler verilmektedir?","Metinde, Kur'an'ın Hz. Muhammed tarafından yazılmadığının kanıtı olarak, iftira olayında bir ay beklemesi ve Kur'an'da kendisine olumsuz görünen ifadelere yer verilmesi örnekleri gösterilmektedir. Ayrıca, Kur'an'ın okuma yazması olmayan birinin yazması mümkün olmadığı ve bu nedenle Allah'ın kelamı olduğu savunulmaktadır.",Conceptual
Kur'an'ın başlıca amacı nedir?,"Kur'an'ın asıl amacı, insana kulluk görevlerini ve sorumluluklarını öğretmek, bireysel ve toplumsal hayatını düzenlemek ve ebedi saadete ulaşmasına vesile olmaktır. Daha özlü bir ifadeyle, insan hayatını Yaratıcı'sının irade ve rızası doğrultusunda şekillendirmektir.",Factual
Kur'an'da ilmî ve teknik konulara neden özlü ve icazlı bir şekilde yer verilmiştir?,"Kur'an, ana amaçlarından sapmadan, çağın medeniyet harikaları ve ilmî gelişmelerinden detaylı bir şekilde bahsetseydi, asıl amaçları olan insanın ebedi saadeti ve Yaratıcı'ya kulluğu ikinci plana atılmış olurdu. Bu nedenle, ilmî ve teknik konular ana amaçlar çerçevesinde özlü ve icazlı bir biçimde ele alınmıştır.",Conceptual
Ne tür bilimsel gerçekler Kur'an'da yer almaktadır?,"Kur'an'da, insanların ve diğer canlıların çift yaratılması, atomların artı ve eksi yüklü parçacıklardan oluşması, cazibe ve dafia kuvvetlerinin varlığı, mekân genişlemesi, güneşin kendi ekseni etrafında dönmesi ve dağların hareket etmesi gibi bilimsel gerçeklere işaret edilmektedir.",Factual
"Kur'an'da belirtilen bilimsel gerçeklerin, o dönemdeki insan bilgisine göre önemi nedir?","Kur'an'da yer alan bu bilimsel gerçekler, o dönemde henüz keşfedilmemiş veya bilinmeyen bilgilerdi. Bu nedenle, Kur'an'ın bu bilgileri içermesi, ilahi bir kaynak olduğuna dair bir delil olarak yorumlanabilir ve o dönemdeki insan bilgisinin ötesinde bir bilgiye sahip olduğunu gösterir.",Conceptual
Kur'an'ın korunmasıyla ilgili Allah'ın verdiği en büyük teminat nedir?,"Kur'an'ın korunmasındaki en büyük teminat, onu gönderen Allah'ın vermiş olduğu, ""Şüphesiz ki, zikri (Kur'ân'ı) Biz indirdik, elbette onu yine Biz koruyacağız"" şeklinde taahhüttür.",Factual
"Kur'an'ın, nazil olduğu günden bugüne kadar mucizevi korunmasının sebepleri nelerdir ve bu koruma nasıl sağlanmıştır?","Kur'an'ın korunması, öncelikle Allah'ın taahhüdüyle, ardından Peygamber Efendimiz, sahabe ve daha sonraki nesillerin Kur'an'ı vesile kılarak yaptığı koruma çabalarıyla sağlanmıştır.  Bu koruma, Kur'an'ın gökten indiği şekliyle tespit edilmesi, bir harfi bile değişmeksizin günümüze ulaşması ve kıyamete kadar aslî hüviyetiyle devam edecek olmasıyla kendini göstermiştir.  Kur'an'ın mesaj ve hakikatlerinin tazeliğini koruması, zamanın etkisinden etkilenmemesi ve aleyhindeki tezler karşısında zafer kazanması da bu mucizevi korunmanın kanıtlarıdır.",Conceptual
Metnin ana fikri nedir?,"Metnin ana fikri, Kur'an'ın evren ve insanlık üzerindeki derin etkisini, aydınlatıcı ve yönlendirici gücünü vurgulamaktadır. Kur'an'ın, varoluşun gizemlerini çözmeye, insan-varlık-Yaratıcı ilişkisini ortaya koymaya ve doğru bilgi ile düşünceye ulaşmaya vesile olduğu anlatılmaktadır.",Summarizing
"Kur'an'ın, metinde bahsedilen 'sihirli ufku' neyi temsil ediyor?","Metinde 'sihirli ufuk', Kur'an'ın sonsuz bilgeliğinin ve insanlığı aydınlatan gücünün sembolik bir ifadesidir. Kur'an'ın ortaya koyduğu gerçekler, insanlığın önündeki karanlıkları dağıtarak yeni bir anlayış ve bakış açısı sunmaktadır.",Conceptual
