question,answer,question_type
"Lüğatte ""müstehap"" kelimesi ne anlama gelir ve İslam terminolojisinde nasıl tanımlanır?","Lüğatte ""müstehap"", ""sevilmiş şey"" anlamına gelir. İslam terminolojisinde ise, Peygamber Efendimizin (aleyhi ekmelüttehaya) ara sıra yapmış olduğu, duha namazı gibi, sünnet-i gayr-i müekkede hükmünde olan ibadet veya davranışları ifade eder.",Factual
Müstehap bir fiilin yapılmasının ve yapılmamasının sonuçları nelerdir?,"Müstehap bir fiilin yapılması sevaba, yapılmaması ise sadece bu sevaptan mahrumiyete sebep olur.",Conceptual
Haram işlememenin sevabı nedir ve bu durum nasıl bir salih amele dönüşür?,"Haramları ve günahları terk eden bir kimse, her terk ettiği günah ve haram sayısınca vacip yerine getirmiş olur. Bu, niyet, takva ve günahtan kaçınma kastıyla yapılan bir salih amel sayılır.",Conceptual
Tahrîmen mekruh ile tenzîhen mekruh arasındaki fark nedir ve her birinin hükmü nasıldır?,"Tahrîmen mekruh, harama yakın olan mekruhtur (örneğin, abdestte suyu israf etmek). Terkinde sevap, işlenmesinde ise âhirette azaba uğrama ihtimali vardır.  Tenzîhen mekruh ise, helale yakın olan mekruhtur (örneğin, burnu sağ elle temizlemek). İşlenmesi azabı gerektirmez, fakat terki sevaplıdır.",Analytical
Tahrimen mekruh ne anlama gelir?,"Metinde, tahrîmen kayıtları konmaksızın geçiyorsa, bununla tahrîmen mekruh kastediliyor denmektedir.  Yani, bir şeyin yasaklanmış kayıtları olmadan yapılması, tahrimen mekruh olduğu anlamına gelir.",Factual
Sahîh bir ibadetin bâtıldan farkı nedir ve örnek verebilir misiniz?,"Sahîh bir ibadet, bütün şartlarına ve rükünlerine uyularak eksiksiz ifa edilen ibadettir (örneğin, farz ve vaciblerine riayet edilerek kılınan namaz). Bâtıl ise, rükünlerine veya şartlarına tamamen veya kısmen uyulmayan bir ibadettir (örneğin, abdestsiz namaz kılmak).  Sahîh, bâtılın tam tersidir.",Analytical
Bu metinde bahsi geçen namaz çeşitlerinden birini örnek olarak verebilir misiniz?,"Metinde Cuma namazı, Vitir namazı ve nafile namazlar gibi farklı namaz çeşitlerinden bahsedilmektedir.",Factual
"Metindeki konuların, günlük hayattaki pratik uygulamalarla nasıl bir ilişkisi olduğunu açıklayabilir misiniz?","Metindeki konular, namazın nasıl kılınacağı, vakitleri, şartları ve adabı gibi pratik bilgiler içermektedir. Bu bilgiler, Müslümanların günlük ibadetlerini yerine getirmelerinde yol gösterici niteliktedir. Ayrıca, cemaatle namaz kılmanın önemi, işçilere cuma namazı için izin verilmesi gibi konular, namazın sosyal hayata olan etkisini de göstermektedir.",Contextual
"Hangi namaz türleri, metinde sıralanan konular arasında yer almaktadır?","Metinde, Bayram Namazı, Nafile Namazlar, Hasta namazı, Seferilik ve Cem meseleleri, Cenaze Namazı ve Tilavet Secdesi gibi namaz türleri ve namazla ilgili konular yer almaktadır.",Listing
Metinde bahsi geçen 'Sehiv Secdesi' ve 'Tilavet Secdesi'nin namaz ibadetiyle ilişkisi nedir?,"Sehiv secdesi, namazda hata yapıldığında yapılan bir secdedir. Tilavet secdesi ise Kur'an-ı Kerim okunurken yapılan bir secdedir. Her iki secde de namazın önemli bir parçasıdır ve ibadetin doğruluğunu sağlamaya yöneliktir.",Contextual
